Year,Month,Crop,Region,Temperature,Rainfall,Humidity,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Fertilizer_Use,Pesticide_Use,Previous_Year_Yield,Sowing_To_Harvest_Days,Predicted_Yield
2021,7,Arhar,Raipur Division,21.50507811849104,176.1547561519239,72.44557650971595,6.3224921130169,44.537200580870696,52.55018833986245,154.1141088598347,241.8759708773895,0.941696982472372,1744.1102096268498,160,2517.801925081491
2018,8,Niger,Balod Division,33.82544896483704,79.32003695011126,72.70667669945698,6.460170180655873,46.67844452409955,48.86021236754261,128.35434840240063,91.62199928410149,2.6732954836267684,2962.3701661177874,106,1266.4101736391322
2025,3,Kulthi,Surguja Division,33.29462229913007,92.26544460992906,83.90131651005993,7.789450173236684,49.87230850715416,23.452611437108146,165.42445398288845,112.23872049378889,6.304582972424243,5431.411536451126,141,4055.3016583505987
2022,6,Niger,Surguja Division,15.229613194987557,137.95125160258812,64.96116879327496,7.906747537705343,16.147365432289874,50.59448217841584,190.48350563007293,203.99845624374083,5.299106085609492,5262.210032240265,107,1708.57573199275
2019,1,Mustard,Raipur Division,24.00233052949622,240.41896905341565,37.44644206282664,6.655318368969761,44.51856185901902,36.673923795314636,176.8183890159678,223.35280045826877,0.689873082586806,2544.2020821139604,152,2940.909930221593
2021,7,Niger,Sarangarh-Bilaigarh Division,34.54208466103147,176.77060601506668,37.28489433029833,6.753651989852829,20.64085506915207,12.63783074160454,246.92887387467326,153.84534883790553,9.684312758924698,2483.950667958997,122,1135.7900181551342
2024,1,Masoor,Bilaspur Division,17.062427248161516,209.4754686382404,73.26794144140942,5.633527117828514,33.63263499582031,32.84694249491245,77.65306877537421,248.64521345610984,8.87168688294591,4712.899579022704,93,4452.013664100883
2017,9,Masoor,Surguja Division,25.95569388766639,296.2936387726687,41.02707990647407,6.367410155256283,30.23091335476844,57.10789585149966,135.94740178595572,52.31443975105405,2.5922548714515825,3790.4134483786524,176,3961.4408817646913
2021,1,Mustard,Balod Division,34.57915014082208,242.00135882830241,49.70312997699632,6.85385553153292,10.719525262895507,54.392967486777636,134.96614732866223,109.91853111704313,1.2233857596214126,5461.449766654511,164,3641.8467869883157
2025,1,Kulthi,Balod Division,26.109908482117206,158.59037453530442,59.23272041531483,5.850949139155773,47.310851196243796,15.113214049855802,133.41064074058414,174.63235074891597,9.424028647569902,1620.6638934627679,141,3590.425112164349
2025,7,Kulthi,Sarangarh-Bilaigarh Division,18.79630605944312,161.61048044913719,31.48589265456907,6.859802382265064,13.133082205968737,47.20633428571851,182.75967840853366,143.8579821874966,4.611417778806999,4552.0593038028555,98,3979.1946272764058
2022,2,Urd,Surguja Division,26.643664601851796,204.69301926025125,44.92914162119591,8.0595274367734,37.528756776309436,50.28964329791174,147.96561210934448,73.32059328576015,3.1116696477143577,5153.360061199379,153,1991.399170529526
2019,5,Mustard,Raipur Division,19.088811478990937,216.34130210472608,54.47337651043681,7.24396305917516,41.40027344833048,23.56940941183824,153.4865119625926,123.55741709611272,4.903580351651874,6466.930560143344,119,3489.7614615391662
2018,8,Til,Balod Division,25.394085257889685,175.17773145916783,46.77817910959237,5.736789565115237,41.81151396190737,33.580428537054615,136.47119842935294,55.08942865900781,7.727441445464121,4893.908471184234,97,4718.654165652998
2022,8,Moong,Sarangarh-Bilaigarh Division,16.48084435824696,211.21530570374497,38.18221964805395,6.075013956490823,15.419780757153791,45.549397073184146,248.3398922037125,178.5492092150559,1.6838529830305449,2659.2257827498315,94,3605.5587695521813
2022,3,Rice,Surguja Division,27.109653384288094,55.883123603524695,73.68073546777184,6.923633050475669,27.902798020318887,31.952074441057395,235.51226976380843,228.54850859927106,7.674958335093072,2040.9309744001937,165,2230.012415161067
2017,7,Tiwra,Surguja Division,25.335798782563163,157.40571597421103,78.78885931007909,6.5844614494654365,43.177154817359195,15.639845943328847,111.54483787287418,226.97482475669176,7.4944678793386545,4704.583873220377,152,3094.6225475788815
2020,3,Niger,Surguja Division,29.803227375229262,119.73451901836918,45.44873856862349,6.576181058638296,22.107168415150188,45.294122234086075,72.31878495333343,189.9088947531093,5.3934820484087975,4115.91533759108,90,1513.3011798546936
2019,6,Wheat,Surguja Division,27.614009423175702,82.2936113107776,76.4651696763782,7.08780234443077,28.709947014986547,55.58193448676518,217.95294480772057,143.1540390995855,8.658422887495817,5995.726442225082,104,3161.425341932797
2016,6,Maize,Surguja Division,25.992125370615135,74.88662820219378,53.133213864078826,7.253187764768372,20.91175570799383,42.62423642030788,249.4340502851449,152.40632373829794,1.3214337816986055,5133.040105906374,178,2928.149768048419
2022,3,Urd,Balod Division,28.795576984962423,200.79804140366687,60.40114745124016,7.890584710828573,28.54205671541297,48.690037428451696,108.52177880792911,77.38376479913258,5.954790066656731,4048.7122502131037,171,1548.020351730191
2020,7,Niger,Sarangarh-Bilaigarh Division,17.878838271444618,180.90013678815293,81.36006449358916,6.5228996903874545,45.5135169037152,27.918126782891424,121.55698516835325,118.2034186238406,4.493430525018216,3517.947353825738,127,1777.7214149692759
2016,3,Niger,Surguja Division,26.90719322517208,113.3960292490923,74.99722090814447,7.9163988491217605,28.204969241310778,19.159912256331744,238.32663629704058,87.54561509965473,4.222921128358317,3521.8734978541015,131,1833.3627166077526
2019,8,Wheat,Bilaspur Division,18.442212056455553,167.73751469312862,78.30701107897066,6.5158336873378975,32.23648068297281,42.138683080914625,192.22590360061798,214.24004066999092,2.5256107126952543,2631.521430756173,135,2192.374250602289
2015,10,Masoor,Bilaspur Division,33.51044415703762,173.05807879560206,38.21070999518141,5.666298966823701,26.15905133212334,26.388560292060944,109.12766635592723,232.95078026759194,3.7227965680990804,1586.6298587784852,142,3657.0560264718342
2024,4,Pea,Sarangarh-Bilaigarh Division,16.366682096912083,98.75224510965396,34.183165550023766,7.1625629530143735,28.404687328133022,53.00367594948964,166.20929825678303,157.3846522840234,1.0815075602366575,4374.552941035531,115,4344.257913666526
2020,1,Moong,Raipur Division,23.607494993815866,213.02326547041267,83.60428374527922,7.263706974684443,10.606967961856869,16.13140249890033,238.8459158728512,195.5528081025888,2.5159896976482523,2562.073662616076,150,3493.5921049932613
2023,4,Mustard,Raipur Division,28.915949553108895,245.22983909652262,53.27005617426566,8.30362073686558,21.349820398418238,31.673184986656185,212.36262138915572,74.2929541814255,2.719651077780826,2541.6345886402073,156,2906.38307453383
